File: CPM_Data
This file contains information on the least squares
 estimation of the coregistration parameters.
This info is used in the plotcmp script.
There are 10 columns with:
Window number, position L, position P, 
 offsetL (observation), offsetP (observation), correlation,
 estimated errorL, errorP, w-test statistics for L, P.
win   posL  posP      offL      offP  corr      eL     eP  wtstL  wtstP
------------------------------------------------------------
   1  2185  2497    -47.75    -33.56   0.50   2.06  -0.36  96.53  16.87
   2  2185  2608    -48.19    -33.44   0.48   1.73  -0.13  73.80   5.37
  12  2185  3723    -49.88    -34.19   0.42   1.44   0.36  47.75  11.94
  14  2298  2514    -49.88    -33.19   0.43  -0.09   0.01   3.05   0.42
  29  2412  2755    -51.75    -34.12   0.44  -1.78  -0.68  64.21  24.49
  37  2412  3647    -52.19    -34.19   0.48  -1.14   0.25  48.22  10.35
  38  2412  3758    -50.19    -34.25   0.53   1.02   0.32  52.74  16.25
  50  2525  3664    -52.31    -34.06   0.58  -1.31   0.38  80.77  23.61
  51  2525  3776    -50.00    -34.69   0.60   1.16  -0.12  78.52   7.79
  55  2639  2790    -50.06    -33.31   0.44  -0.14   0.14   5.12   5.09
  62  2639  3570    -49.81    -34.12   0.41   0.99   0.20  31.22   6.40
  64  2639  3793    -50.06    -35.12   0.44   1.05  -0.54  37.93  19.35
  68  2752  2807    -49.94    -33.56   0.50  -0.05  -0.10   2.19   4.67
  70  2752  3030    -49.81    -33.88   0.49   0.29  -0.18  12.81   7.88
  78  2866  2490    -49.94    -33.81   0.53  -0.33  -0.70  16.92  36.18
  81  2866  2825    -49.62    -33.75   0.51   0.25  -0.29  11.63  13.48
  86  2866  3382    -52.75    -33.81   0.44  -2.32   0.27  82.94   9.77
  89  2866  3717    -51.00    -34.50   0.60  -0.14  -0.03   9.39   1.86
  91  2979  2508    -50.81    -33.50   0.47  -1.21  -0.39  49.35  15.67
  99  2979  3400    -52.12    -33.94   0.49  -1.73   0.15  75.03   6.64
 100  2979  3511    -52.12    -33.81   0.42  -1.59   0.41  52.45  13.50
 102  2979  3734    -48.12    -34.12   0.48   2.69   0.36 112.87  15.16
 104  3093  2525    -48.94    -32.88   0.52   0.64   0.24  31.39  11.79
 112  3093  3417    -51.94    -34.50   0.47  -1.58  -0.40  63.69  16.02
 115  3093  3752    -51.50    -34.44   0.55  -0.74   0.05  40.19   2.87
 117  3206  2543    -48.06    -32.81   0.44   1.50   0.32  53.89  11.36
 120  3206  2877    -50.06    -33.31   0.58  -0.27   0.18  16.25  10.67
 126  3206  3546    -47.69    -34.81   0.44   2.75  -0.57  98.17  20.29
 128  3206  3769    -50.06    -34.50   0.48   0.66   0.00  27.63   0.13
 132  3320  2783    -50.56    -33.56   0.50  -0.87  -0.19  39.34   8.47
 135  3320  3118    -50.12    -34.25   0.50  -0.17  -0.51   7.57  22.99
 141  3320  3787    -48.19    -34.75   0.50   2.48  -0.23 112.61  10.65
 144  3433  2689    -51.94    -33.50   0.44  -2.34  -0.24  83.66   8.57
 152  3433  3581    -48.25    -34.88   0.46   2.11  -0.62  81.47  23.79
 153  3433  3693    -51.62    -34.19   0.52  -1.13   0.20  54.63   9.91
 154  3433  3804    -48.06    -34.75   0.43   2.57  -0.22  88.37   7.69
 167  3660  2390    -49.50    -32.75   0.43  -0.10   0.17   3.31   5.94
 168  3660  2501    -50.25    -32.88   0.48  -0.80   0.16  33.64   6.64
 169  3660  2613    -51.94    -33.50   0.45  -2.44  -0.34  90.57  12.73
 170  3660  2724    -50.25    -33.44   0.43  -0.69  -0.16  23.62   5.59
 171  3660  2836    -47.44    -33.06   0.49   2.19   0.34  94.70  14.67
 172  3660  2947    -47.88    -33.06   0.55   1.82   0.46  98.61  24.99
 178  3660  3616    -51.56    -34.44   0.64  -1.27  -0.15  94.75  11.45
 180  3774  2407    -49.56    -32.81   0.42  -0.16   0.12   5.47   3.93
 181  3774  2519    -49.69    -33.12   0.42  -0.25  -0.07   8.32   2.42
 184  3774  2853    -47.81    -33.12   0.46   1.80   0.29  69.28  11.10
 190  3774  3522    -51.25    -34.00   0.45  -1.12   0.17  41.29   6.19
 191  3774  3634    -52.06    -33.81   0.57  -1.81   0.49 104.91  28.31
 193  3887  2425    -49.88    -33.00   0.45  -0.49  -0.06  18.51   2.35
 195  3887  2648    -46.00    -32.50   0.43   3.47   0.68 118.85  23.10
 196  3887  2759    -46.88    -32.75   0.43   2.65   0.55  90.50  18.65
 197  3887  2871    -48.00    -32.94   0.50   1.59   0.48  71.33  21.50
 203  3887  3540    -51.50    -34.00   0.56  -1.40   0.18  78.10  10.06
 204  3887  3651    -51.94    -34.19   0.49  -1.73   0.12  74.78   5.25
 207  4001  2554    -47.75    -33.00   0.44   1.67   0.06  59.48   2.31
 215  4001  3446    -52.25    -33.88   0.44  -2.29   0.18  81.35   6.49
 218  4001  3780    -50.25    -35.12   0.47   0.04  -0.66   1.42  26.64
 220  4114  2571    -47.38    -32.75   0.49   2.02   0.32  87.84  14.05
 224  4114  3017    -48.00    -33.31   0.42   1.61   0.25  52.94   8.33
 228  4114  3463    -47.88    -34.62   0.52   2.05  -0.55  98.98  26.31
 230  4114  3686    -52.06    -34.25   0.53  -1.93   0.09  96.67   4.45
 235  4228  2812    -52.31    -33.62   0.48  -2.83  -0.29 117.87  12.18
 237  4228  3035    -52.19    -33.56   0.48  -2.60   0.02 108.45   0.66
 243  4228  3704    -53.62    -33.50   0.43  -3.52   0.85 120.57  29.21
 245  4341  2495    -52.06    -33.25   0.41  -2.70  -0.27  85.57   8.70
 246  4341  2606    -47.94    -33.00   0.49   1.44   0.09  62.54   4.09
 255  4341  3610    -52.31    -34.19   0.47  -2.35   0.04  94.00   1.80
 260  4455  2735    -48.06    -33.00   0.45   1.35   0.23  49.88   8.40
 261  4455  2847    -47.94    -32.94   0.46   1.51   0.41  58.07  15.82
 263  4455  3070    -46.31    -33.25   0.46   3.24   0.35 125.01  13.53
 267  4455  3516    -48.31    -34.56   0.45   1.53  -0.44  56.46  16.39
 268  4455  3627    -50.19    -34.44   0.45  -0.26  -0.19   9.80   7.07
 269  4455  3739    -50.38    -35.06   0.51  -0.36  -0.68  16.72  31.64
 271  4568  2530    -52.19    -33.00   0.48  -2.85  -0.00 119.25   0.14
 273  4568  2753    -50.12    -32.94   0.44  -0.72   0.30  25.79  10.65
 279  4568  3422    -50.19    -34.12   0.41  -0.46  -0.12  14.62   3.77
 280  4568  3533    -50.44    -34.81   0.45  -0.64  -0.68  23.49  25.11
 282  4568  3756    -49.06    -34.81   0.44   0.93  -0.41  33.07  14.69
 286  4682  2770    -49.56    -33.06   0.41  -0.18   0.19   5.56   6.01
 292  4682  3439    -48.75    -34.19   0.46   0.95  -0.18  36.47   6.76
 297  4795  2565    -50.25    -32.88   0.42  -0.92   0.14  30.29   4.60
 309  4909  2471    -48.56    -33.19   0.46   0.76  -0.28  29.42  10.84
